name                                                                                                                             ParentTable                                                                                                                      ReferencedTable                                                                                                                 
-------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- --------------------------------------------------------------------------------------------------------------------------------
FK_Programmes_Universities_UniversityId                                                                                          Programmes                                                                                                                       Universities                                                                                                                    
FK_AcademicClasses_Programmes_ProgrammeId                                                                                        AcademicClasses                                                                                                                  Programmes                                                                                                                      
FK_Courses_Programmes_ProgrammeId                                                                                                Courses                                                                                                                          Programmes                                                                                                                      
FK_Students_Universities_UniversityId                                                                                            Students                                                                                                                         Universities                                                                                                                    
FK_Students_Programmes_ProgrammeId                                                                                               Students                                                                                                                         Programmes                                                                                                                      
FK_Enrollments_Students_StudentId                                                                                                Enrollments                                                                                                                      Students                                                                                                                        
FK_Enrollments_AcademicClasses_ClassId                                                                                           Enrollments                                                                                                                      AcademicClasses                                                                                                                 
FK_Assessments_AcademicClasses_ClassId                                                                                           Assessments                                                                                                                      AcademicClasses                                                                                                                 
FK_Submissions_Assessments_AssessmentId                                                                                          Submissions                                                                                                                      Assessments                                                                                                                     
FK_Submissions_Students_StudentId                                                                                                Submissions                                                                                                                      Students                                                                                                                        
FK_Announcements_AcademicClasses_ClassId                                                                                         Announcements                                                                                                                    AcademicClasses                                                                                                                 
FK_RefreshTokens_Users_UserId                                                                                                    RefreshTokens                                                                                                                    Users                                                                                                                           

(12 rows affected)
