name                                                                                                                             TableName                                                                                                                        is_unique filter_definition                                                                                                                                                                                                                                               
-------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- --------- ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
clst                                                                                                                             sysrscols                                                                                                                                1 NULL                                                                                                                                                                                                                                                            
clust                                                                                                                            sysrowsets                                                                                                                               1 NULL                                                                                                                                                                                                                                                            
clst                                                                                                                             sysclones                                                                                                                                1 NULL                                                                                                                                                                                                                                                            
clust                                                                                                                            sysallocunits                                                                                                                            1 NULL                                                                                                                                                                                                                                                            
nc                                                                                                                               sysallocunits                                                                                                                            1 NULL                                                                                                                                                                                                                                                            
clst                                                                                                                             sysseobjvalues                                                                                                                           1 NULL                                                                                                                                                                                                                                                            
cl                                                                                                                               syspriorities                                                                                                                            1 NULL                                                                                                                                                                                                                                                            
nc                                                                                                                               syspriorities                                                                                                                            1 NULL                                                                                                                                                                                                                                                            
nc2                                                                                                                              syspriorities                                                                                                                            1 NULL                                                                                                                                                                                                                                                            
cl                                                                                                                               sysdbfrag                                                                                                                                1 NULL                                                                                                                                                                                                                                                            
nc1                                                                                                                              sysdbfrag                                                                                                                                1 NULL                                                                                                                                                                                                                                                            
cl                                                                                                                               sysfgfrag                                                                                                                                1 NULL                                                                                                                                                                                                                                                            
clst                                                                                                                             sysdbfiles                                                                                                                               1 NULL                                                                                                                                                                                                                                                            
cl                                                                                                                               syspru                                                                                                                                   1 NULL                                                                                                                                                                                                                                                            
clst                                                                                                                             sysbrickfiles                                                                                                                            1 NULL                                                                                                                                                                                                                                                            
cl                                                                                                                               sysphfg                                                                                                                                  1 NULL                                                                                                                                                                                                                                                            
clst                                                                                                                             sysprufiles                                                                                                                              1 NULL                                                                                                                                                                                                                                                            
clst                                                                                                                             sysftinds                                                                                                                                1 NULL                                                                                                                                                                                                                                                            
clst                                                                                                                             sysowners                                                                                                                                1 NULL                                                                                                                                                                                                                                                            
nc1                                                                                                                              sysowners                                                                                                                                1 NULL                                                                                                                                                                                                                                                            
nc2                                                                                                                              sysowners                                                                                                                                1 NULL                                                                                                                                                                                                                                                            
clst                                                                                                                             sysdbreg                                                                                                                                 1 NULL                                                                                                                                                                                                                                                            
nc1                                                                                                                              sysdbreg                                                                                                                                 1 NULL                                                                                                                                                                                                                                                            
nc2                                                                                                                              sysdbreg                                                                                                                                 1 NULL                                                                                                                                                                                                                                                            
clust                                                                                                                            sysprivs                                                                                                                                 1 NULL                                                                                                                                                                                                                                                            
clst                                                                                                                             sysschobjs                                                                                                                               1 NULL                                                                                                                                                                                                                                                            
