name                                                                                                                             TableName                                                                                                                        is_unique filter_definition                                                                                                                                                                                                                                               
-------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- --------- ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
IX_AcademicClasses_ProgrammeId                                                                                                   AcademicClasses                                                                                                                          0 NULL                                                                                                                                                                                                                                                            
IX_Courses_ProgrammeId                                                                                                           Courses                                                                                                                                  0 NULL                                                                                                                                                                                                                                                            
IX_Programmes_UniversityId                                                                                                       Programmes                                                                                                                               0 NULL                                                                                                                                                                                                                                                            
IX_Students_University_Programme                                                                                                 Students                                                                                                                                 0 NULL                                                                                                                                                                                                                                                            
IX_Submissions_AssessmentId                                                                                                      Submissions                                                                                                                              0 NULL                                                                                                                                                                                                                                                            
IX_Users_NormalizedEmail                                                                                                         Users                                                                                                                                    1 ([IsDeleted]=(0))                                                                                                                                                                                                                                               
UX_Enrollments_Student_Class                                                                                                     Enrollments                                                                                                                              1 ([IsDeleted]=(0))                                                                                                                                                                                                                                               

(7 rows affected)
