TableName                                                                                                                        ColumnName                                                                                                                      
-------------------------------------------------------------------------------------------------------------------------------- --------------------------------------------------------------------------------------------------------------------------------
Universities                                                                                                                     Id                                                                                                                              
Users                                                                                                                            Id                                                                                                                              
Programmes                                                                                                                       Id                                                                                                                              
AcademicClasses                                                                                                                  Id                                                                                                                              
Courses                                                                                                                          Id                                                                                                                              
Students                                                                                                                         Id                                                                                                                              
Enrollments                                                                                                                      Id                                                                                                                              
Assessments                                                                                                                      Id                                                                                                                              
Submissions                                                                                                                      Id                                                                                                                              
Announcements                                                                                                                    Id                                                                                                                              
RefreshTokens                                                                                                                    Id                                                                                                                              

(11 rows affected)
