TABLE_SCHEMA                                                                                                                     TABLE_NAME                                                                                                                      
-------------------------------------------------------------------------------------------------------------------------------- --------------------------------------------------------------------------------------------------------------------------------
dbo                                                                                                                              AcademicClasses                                                                                                                 
dbo                                                                                                                              Announcements                                                                                                                   
dbo                                                                                                                              Assessments                                                                                                                     
dbo                                                                                                                              Courses                                                                                                                         
dbo                                                                                                                              Enrollments                                                                                                                     
dbo                                                                                                                              Programmes                                                                                                                      
dbo                                                                                                                              RefreshTokens                                                                                                                   
dbo                                                                                                                              Students                                                                                                                        
dbo                                                                                                                              Submissions                                                                                                                     
dbo                                                                                                                              Universities                                                                                                                    
dbo                                                                                                                              Users                                                                                                                           

(11 rows affected)
